Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    0.001475       0.000773       0.000271
    0.012834       0.010781       0.001377
    0.056742       0.036983       0.004973
    0.091708       0.115843       0.005924
    0.184215       0.171999       0.009381
    0.252754       0.482159       0.019290
    0.440397       0.544424       0.032044
    0.639608       1.146019       0.039294
    0.974970       1.702605       0.054711
    1.499907       8.453111       0.112712
