MATMUL
    0.000000       0.000000       0.000293
    0.000000       0.000000       0.001058
    0.000000       0.000000       0.003425
    0.000000       0.000000       0.007394
    0.000000       0.000000       0.017603
    0.000000       0.000000       0.023200
    0.000000       0.000000       0.031560
    0.000000       0.000000       0.041016
    0.000000       0.000000       0.062976
    0.000000       0.000000       0.071127
    0.000000       0.000000       0.130348
    0.000000       0.000000       0.128367
    0.000000       0.000000       0.154594
    0.000000       0.000000       0.173543
    0.000000       0.000000       0.216551
    0.000000       0.000000       0.261331
    0.000000       0.000000       0.378568
    0.000000       0.000000       0.394117
    0.000000       0.000000       0.578004
    0.000000       0.000000       0.630846
    0.000000       0.000000       0.661217
    0.000000       0.000000       0.758924
    0.000000       0.000000       0.790497
    0.000000       0.000000       0.908374
    0.000000       0.000000       0.972467
    0.000000       0.000000       1.100315
    0.000000       0.000000       1.243824
    0.000000       0.000000       1.446981
    0.000000       0.000000       1.552958
    0.000000       0.000000       1.744598
