    Size    Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    50       0.000734       0.000591       0.000085
    75       0.001718       0.002014       0.000204
   100       0.004862       0.006470       0.000383
   125       0.008034       0.008818       0.000536
   150       0.011981       0.013774       0.000510
   175       0.023490       0.020570       0.000792
   200       0.033835       0.032947       0.000990
