    Size    Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
   100       0.003282       0.013930       0.000386
   200       0.091785       0.041477       0.001078
   300       0.107167       0.111852       0.002045
   400       0.229855       0.239732       0.005559
   500       0.472976       0.614894       0.008277
   600       0.810232       0.930633       0.013473
   700       1.300373       1.579424       0.021019
   800       2.173331       3.326907       0.041463
   900       3.485513       4.550955       0.042927
  1000       4.035899       8.505738       0.056276
  1100       5.780309      11.658398       0.090080
  1200       7.223584      16.430536       0.133874
  1300       9.405523      25.112827       0.191250
  1400      12.506000      36.694377       0.180811
  1500      15.508679      44.683997       0.324485
  1600      29.554295      61.328318       0.285148
  1700      25.884766      65.765548       0.365044
  1800      30.604356      82.551421       0.526311
  1900      40.460562     108.220996       0.467124
  2000      47.586929     109.993308       0.482757
  2100      51.466341     129.384625       0.610470
  2200      61.241020     153.114354       0.699223
  2300      79.508428     180.547648       0.736621
  2400     113.171647     222.413666       0.787358
  2500      88.973220     240.369495       1.068898
