    Size    Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
   100       0.002980       0.007811       0.000280
   200       0.032653       0.030068       0.000955
   300       0.094625       0.112862       0.003219
   400       0.265925       0.262686       0.006251
   500       0.592117       0.717402       0.009924
   600       0.927449       1.121710       0.014756
   700       1.485726       2.842290       0.039260
   800       2.189473       2.771213       0.030648
   900       4.793127       5.351932       0.045016
  1000       4.036998       7.817416       0.061350
  1100       6.872617      11.180289       0.082374
  1200       7.716137      19.456413       0.098561
  1300      12.619415      27.325447       0.145901
  1400      14.072048      35.484908       0.178593
  1500      14.244700      40.923307       0.263019
  1600      23.255628      52.698710       0.254830
  1700      23.791981      63.832337       0.335656
  1800      26.067333      77.625746       0.340550
  1900      30.107620     109.295732       0.436559
  2000      49.301323     192.160577       1.063679
  2100      52.968625     179.304945       0.879583
  2200      77.909401     211.581261       0.980433
  2300      85.998945     253.374578       0.913853
  2400     137.392935     216.945213       1.007078
  2500      96.788265     271.943114       1.557237
