    Size    Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    50       0.000667       0.000622       0.000074
    75       0.001728       0.001839       0.000264
   100       0.004266       0.004322       0.000325
   125       0.010018       0.008774       0.000334
   150       0.012032       0.013631       0.000663
   175       0.019400       0.021101       0.000781
   200       0.029361       0.032609       0.000864
