    Size    Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    50       0.000678       0.000708       0.000097
    75       0.001732       0.002100       0.000196
   100       0.004118       0.005008       0.000283
   125       0.008906       0.010654       0.000703
   150       0.013227       0.014002       0.000768
   175       0.021206       0.020616       0.000680
   200       0.035057       0.043012       0.001497
