j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,127.73243555560698,-0.0
1,-0.5,False,-1.5,False,3,2,-35.22202630957203,0.19985759785186835
1,0.5,False,-0.5,False,4,3,-34.9903387916884,0.1994590174495084
1,0.5,False,-0.5,True,4,5,-189.90532438854262,-0.014700352311314469
1,-0.5,True,-1.5,False,5,2,119.69295928728219,-0.007545898281894166
1,0.5,True,-0.5,True,6,5,-26.75266636410518,-0.19945901744950786
1,0.5,True,-0.5,False,6,3,128.16231923274904,-0.014700352311314469
1,1.5,True,0.5,True,7,6,-26.95086252336364,0.1998716373030096
1,1.5,True,0.5,False,7,4,136.2017955010738,0.007164398217174668
2,-1.5,False,-2.5,False,9,8,-35.466651369250734,0.20171092917469863
2,-0.5,False,-1.5,False,10,9,-35.19605211075442,-0.08291276953182669
2,-0.5,False,-1.5,True,10,13,-182.34028782696606,-0.00849838114834522
2,0.5,False,-0.5,False,11,10,-34.96828038293519,0.0818147048332112
2,0.5,False,-0.5,True,11,14,-190.76161516486206,-0.01044390547113162
2,1.5,False,0.5,False,12,11,-34.77310566525719,0.20165586825510193
2,1.5,False,0.5,True,12,15,-198.75999605726088,-0.008509969203124062
2,-1.5,True,-2.5,False,13,8,111.67758434696091,-0.011359030860592575
2,-0.5,True,-1.5,True,14,13,-26.54695304503919,-0.2015851707427733
2,-0.5,True,-1.5,False,14,9,120.59728267117247,-0.005976346883683946
2,0.5,True,-0.5,True,15,14,-26.77472477285839,-0.08181470483321093
2,0.5,True,-0.5,False,15,10,129.01861000906848,-0.01044390547113162
2,1.5,True,0.5,True,16,15,-26.96989949053642,0.0828265843173762
2,1.5,True,0.5,False,16,11,137.01699090146727,-0.004614734207635921
2,2.5,True,1.5,True,17,16,-27.139581794507144,0.201796296365781
2,2.5,True,1.5,False,17,12,144.65051477221732,0.009725291957888462
3,-2.5,False,-3.5,False,19,18,-35.511941959295484,0.19193849163854548
3,-1.5,False,-2.5,False,20,19,-35.192901814477274,-0.1493325290674594
3,-1.5,False,-2.5,True,20,25,-174.3963965076517,-0.00614946021102478
3,-0.5,False,-1.5,False,21,20,-34.929402246499,-0.05519909445193189
3,-0.5,False,-1.5,True,21,26,-183.23305100658104,-0.008806587311643405
3,0.5,False,-0.5,False,22,21,-34.706984770088894,0.053564780541886285
3,0.5,False,-0.5,True,22,27,-191.5837884611219,-0.00968386536784352
3,1.5,False,0.5,False,23,22,-34.51596864231011,0.14843724801247454
3,1.5,False,0.5,True,23,28,-199.52109231147392,-0.008825656218735515
