j,m,xi,spin_up,spin_down,zeeman_energy_khz,rotation_energy_ghz
0,-0.5,False,0.0,1.0,13.837680518524088,0.0
0,0.5,True,1.0,0.0,-13.837680518524088,0.0
1,-1.5,False,0.0,1.0,11.278854959979782,288.0
1,-0.5,False,0.18330576669206197,-0.9830559474910038,14.926768441924775,288.0
1,0.5,False,0.14678130272763992,-0.9891689689681824,25.52319910641784,288.0
1,-0.5,True,0.9830559474910038,0.18330576669206197,-17.48559400046908,288.0
1,0.5,True,0.9891689689681824,0.14678130272763992,-14.704373547873537,288.0
1,1.5,True,1.0,0.0,-11.278854959979782,288.0
2,-2.5,False,0.0,1.0,8.720029401435475,864.0
2,-1.5,False,0.316771015347773,-0.9485020420829577,5.777445316861433,864.0
2,-0.5,False,0.29062309134507197,-0.9568376135881334,16.910362089435704,864.0
2,0.5,False,0.23960703208655987,-0.9708699553362801,27.153193508806584,864.0
2,1.5,False,0.16900733259492184,-0.9856147936842007,36.8917070554822,864.0
2,-1.5,True,0.9485020420829577,0.316771015347773,-21.713921992494356,864.0
2,-0.5,True,0.9568376135881334,0.29062309134507197,-19.46918764798001,864.0
2,0.5,True,0.9708699553362801,0.23960703208655987,-16.33436795026228,864.0
2,1.5,True,0.9856147936842007,0.16900733259492184,-12.695230379849283,864.0
2,2.5,True,1.0,0.0,-8.720029401435475,864.0
3,-3.5,False,0.0,1.0,6.30984441085882,1728.0
3,-2.5,False,0.4692098969680021,-0.8830866733154096,-2.325740231653091,1728.0
3,-1.5,False,0.4225468994591733,-0.9063410603947276,9.157224339797406,1728.0
3,-0.5,False,0.37030897988672823,-0.9289086388958016,19.54105537268898,1728.0
3,0.5,False,0.31448521984015865,-0.949262369686109,29.346700639425748,1728.0
3,1.5,False,0.2522119998810338,-0.9676720038918194,38.78022279311851,1728.0
3,2.5,False,0.17544351460664184,-0.9844894987669849,47.948334717921966,1728.0
3,-2.5,True,0.8830866733154096,0.4692098969680021,-26.740653281122363,1728.0
3,-1.5,True,0.9063410603947276,0.4225468994591733,-24.945060447462676,1728.0
3,-0.5,True,0.9289086388958016,0.37030897988672823,-22.050334075244066,1728.0
3,0.5,True,0.949262369686109,0.31448521984015865,-18.577421936870657,1728.0
3,1.5,True,0.9676720038918194,0.2522119998810338,-14.732386685453246,1728.0
3,2.5,True,0.9844894987669849,0.17544351460664184,-10.62194120514651,1728.0
3,3.5,True,1.0,0.0,-6.30984441085882,1728.0
4,-4.5,False,0.0,1.0,3.800565708303731,2880.0
4,-3.5,False,0.6223411460696857,-0.7827461260898517,-9.182574180002911,2880.0
4,-2.5,False,0.5457227741639592,-0.8379657831670649,2.362873638922723,2880.0
4,-1.5,False,0.4845710886144925,-0.8747518848673409,12.774818166068368,2880.0
4,-0.5,False,0.4285151084743884,-0.9035346157227088,22.597323231545893,2880.0
4,0.5,False,0.3734446860327495,-0.9276524491822901,32.0423883405859,2880.0
4,1.5,False,0.3163300069019379,-0.9486492116337946,41.219038250562974,2880.0
4,2.5,False,0.25332430987764504,-0.9673814108328808,50.19214385942455,2880.0
4,3.5,False,0.17605666646751914,-0.9843800334181636,59.00401796890302,2880.0
4,-3.5,True,0.7827461260898517,0.6223411460696857,-33.16237673788272,2880.0
4,-2.5,True,0.8379657831670649,0.5457227741639592,-31.429267151698177,2880.0
4,-1.5,True,0.8747518848673409,0.4845710886144925,-28.56265427373364,2880.0
4,-0.5,True,0.9035346157227088,0.4285151084743884,-25.10660193410098,2880.0
4,0.5,True,0.9276524491822901,0.3734446860327495,-21.27310963803081,2880.0
4,1.5,True,0.9486492116337946,0.3163300069019379,-17.17120214289771,2880.0
4,2.5,True,0.9673814108328808,0.25332430987764504,-12.86575034664909,2880.0
4,3.5,True,0.9843800334181636,0.17605666646751914,-8.39906705101739,2880.0
4,4.5,True,1.0,0.0,-3.800565708303731,2880.0
5,-5.5,False,0.0,1.0,1.2662870057486408,4320.0
5,-4.5,False,0.7440105072840779,-0.6681679168075111,-14.694392073872732,4320.0
5,-3.5,False,0.6505509546210865,-0.7594626096402595,-3.4639994800711875,4320.0
5,-2.5,False,0.5827476966733408,-0.812653137582029,6.800342216440178,4320.0
5,-1.5,False,0.5248572782081322,-0.8511902475427872,16.53254934096109,4320.0
5,-0.5,False,0.47141982758380413,-0.881908921692516,25.914948108131203,4320.0
5,0.5,False,0.4195546603001738,-0.9077300738768138,35.044745875782795,4320.0
5,1.5,False,0.3671191450816454,-0.9301739263785681,43.98105063547357,4320.0
5,2.5,False,0.3118392753079128,-0.9501348674664223,52.762984123650185,4320.0
5,3.5,False,0.2502346257471743,-0.9681852261200703,61.4180303983386,4320.0
5,4.5,False,0.17417677454284747,-0.9847144008339931,69.96637318899032,4320.0
5,-4.5,True,0.6681679168075111,0.7440105072840779,-40.93411624912307,4320.0
5,-3.5,True,0.7594626096402595,0.6505509546210865,-38.88595143781444,4320.0
5,-2.5,True,0.812653137582029,0.5827476966733408,-35.87173572921563,4320.0
5,-1.5,True,0.8511902475427872,0.5248572782081322,-32.325385448626356,4320.0
5,-0.5,True,0.881908921692516,0.47141982758380413,-28.42922681068629,4320.0
5,0.5,True,0.9077300738768138,0.4195546603001738,-24.28046717322771,4320.0
5,1.5,True,0.9301739263785681,0.3671191450816454,-19.938214527808306,4320.0
5,2.5,True,0.9501348674664223,0.3118392753079128,-15.44159061087473,4320.0
5,3.5,True,0.9681852261200703,0.2502346257471743,-10.818079480452969,4320.0
5,4.5,True,0.9847144008339931,0.17417677454284747,-6.087864865994508,4320.0
5,5.5,True,1.0,0.0,-1.2662870057486408,4320.0
