j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,38.3197306666821,0.0
1,-0.5,False,-1.5,False,3,2,-1.0212988319333078,0.19992256543354095
1,0.5,False,-0.5,False,4,3,-0.9908620946564426,0.19970192264779588
1,0.5,False,-0.5,True,4,5,-38.871218404581974,-0.010915222891618795
1,-0.5,True,-1.5,False,5,2,36.85905747799222,-0.00556487470402362
1,0.5,True,-0.5,True,6,5,0.49691805341009854,-0.1997019226477958
1,0.5,True,-0.5,False,6,3,38.37727436333563,-0.010915222891618795
1,1.5,True,0.5,True,7,6,0.4698110940334246,0.19992831272758144
1,1.5,True,0.5,False,7,4,39.8379475520255,0.0053544159254187125
2,-1.5,False,-2.5,False,9,8,-1.0529760020036036,0.20186139271178094
2,-0.5,False,-1.5,False,10,9,-1.0188126650962452,-0.0827116335853002
2,-0.5,False,-1.5,True,10,13,-37.47252331516238,-0.006335726467921196
2,0.5,False,-0.5,False,11,10,-0.9886570515884081,0.08211147629997079
2,0.5,False,-0.5,True,11,14,-38.98604899060068,-0.007773451503335711
2,1.5,False,0.5,False,12,11,-0.9617819394713649,0.20181913023562145
2,1.5,False,0.5,True,12,15,-40.44254394041411,-0.006339268884323593
2,-1.5,True,-2.5,False,13,8,35.40073464806253,-0.008264663518400904
2,-0.5,True,-1.5,True,14,13,0.5248686238498941,-0.20179014977985327
2,-0.5,True,-1.5,False,14,9,36.978579273916026,-0.00429270435119116
2,0.5,True,-0.5,True,15,14,0.49471301034206405,-0.08211147629997075
2,0.5,True,-0.5,False,15,10,38.49210494935434,-0.007773451503335712
2,1.5,True,0.5,True,16,15,0.46783789822501376,0.08267623024044639
2,1.5,True,0.5,False,16,11,39.94859989916776,-0.0035413151830680297
2,2.5,True,1.5,True,17,16,0.44368840370989915,0.20189628992316358
2,2.5,True,1.5,False,17,12,41.354070242349025,0.007363059545739356
3,-2.5,False,-3.5,False,19,18,-1.0872906789328347,0.19218809496528896
3,-1.5,False,-2.5,False,20,19,-1.0487823942286596,-0.14920573416941182
3,-1.5,False,-2.5,True,20,25,-36.081122398153255,-0.004624814137363832
3,-0.5,False,-1.5,False,21,20,-1.015127936660587,-0.0548460567952886
3,-0.5,False,-1.5,True,21,26,-37.65108868779615,-0.006581068451603767
