j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,15.242737309635766,-0.0
1,-0.5,False,-1.5,False,3,2,-9.841640421343715,0.18893854571568489
1,0.5,False,-0.5,False,4,3,-7.1814985365530575,0.16852987668216363
1,0.5,False,-0.5,True,4,5,-26.033517381247236,-0.10769252836429617
1,-0.5,True,-1.5,False,5,2,9.010378423350463,-0.06559135570211896
1,0.5,True,-0.5,True,6,5,-0.18650007870498087,-0.1685298766821632
1,0.5,True,-0.5,False,6,3,18.665518765989198,-0.10769252836429612
1,1.5,True,0.5,True,7,6,-0.9491396502677532,0.19452744372187442
1,1.5,True,0.5,False,7,4,24.897877652274502,0.0464658330285063
2,-1.5,False,-2.5,False,9,8,-13.428751588118025,0.16708364012258228
2,-0.5,False,-1.5,False,10,9,-7.333925180967418,-0.11222937122975267
2,-0.5,False,-1.5,True,10,13,-25.10016635921022,-0.03427573192614674
2,0.5,False,-0.5,False,11,10,-6.488640932344534,0.05567464219852911
2,0.5,False,-0.5,True,11,14,-31.554733857264136,-0.060852734568802795
2,1.5,False,0.5,False,12,11,-6.049759983019236,0.19051431794364743
2,1.5,False,0.5,True,12,15,-36.72513615736987,-0.0505570610520356
2,-1.5,True,-2.5,False,13,8,4.337489590124775,-0.11357545392381044
2,-0.5,True,-1.5,True,14,13,-0.034073434290617044,-0.16997651098472238
2,-0.5,True,-1.5,False,14,9,17.732167743952182,-0.07040437320798594
2,0.5,True,-0.5,True,15,14,-0.8793576829135024,-0.055674642198528836
2,0.5,True,-0.5,False,15,10,24.1867352420061,-0.06085273456880276
2,1.5,True,0.5,True,16,15,-1.3182386322387991,0.09203570702064923
2,1.5,True,0.5,False,16,11,29.357137542111836,-0.017226563456025183
2,2.5,True,1.5,True,17,16,-1.5990797615621624,0.19610915534564036
2,2.5,True,1.5,False,17,12,33.807817763568906,0.04855435840613894
3,-2.5,False,-3.5,False,19,18,-18.81617329507998,0.13008554549607873
3,-1.5,False,-2.5,False,20,19,-6.962175518282244,-0.16672294334749277
3,-1.5,False,-2.5,True,20,25,-27.270548994209168,0.006471444121716782
3,-0.5,False,-1.5,False,21,20,-6.29727432259876,-0.0843812115504447
3,-0.5,False,-1.5,True,21,26,-33.216577987352565,-0.03248936486082482
3,0.5,False,-0.5,False,22,21,-5.921452240427406,0.02969823836525401
3,0.5,False,-0.5,True,22,27,-38.12188370264113,-0.045617733404494286
3,1.5,False,0.5,False,23,22,-5.671310890717013,0.13441499410036428
3,1.5,False,0.5,True,23,28,-42.40122598604793,-0.04378990098137353
3,2.5,False,1.5,False,24,23,-5.489336093232367,0.18779470328371134
3,2.5,False,1.5,True,24,29,-46.248452122259714,-0.030940792750508875
3,-2.5,True,-3.5,False,25,18,1.4922001808469432,-0.1418266120656652
3,-1.5,True,-2.5,True,26,25,-0.351245329455363,-0.17014476862956054
3,-1.5,True,-2.5,False,26,19,19.95712814647156,-0.04971516408281126
3,-0.5,True,-1.5,True,27,26,-1.0161465251388453,-0.11775231219104812
3,-0.5,True,-1.5,False,27,20,25.90315713961496,-0.056069871295254946
3,0.5,True,-0.5,True,28,27,-1.3919686073102024,-0.0296982383652542
3,0.5,True,-0.5,False,28,21,30.808462854903517,-0.045617733404494334
3,1.5,True,0.5,True,29,28,-1.6421099570205904,0.06809782808155401
