j,m,xi,spin_up,spin_down,zeeman_energy_khz,rotation_energy_ghz
0,-0.5,False,0.0,1.0,58.544032962986535,0.0
0,0.5,True,1.0,0.0,-58.544032962986535,0.0
1,-1.5,False,0.0,1.0,57.04439623330461,21.92
1,-0.5,False,0.0089964291890026,-0.9999595313120663,58.55351188635427,21.92
1,0.5,False,0.008883420119096925,-0.9999605416450129,60.05302953663595,21.92
1,-0.5,True,0.9999595313120663,0.0089964291890026,-58.56314861603619,21.92
1,0.5,True,0.9999605416450129,0.008883420119096925,-58.55339280695402,21.92
1,1.5,True,1.0,0.0,-58.534396233304605,21.92
2,-2.5,False,0.0,1.0,55.544759503622686,65.76
2,-1.5,False,0.012885204587727255,-0.9999169823053974,57.063596782125614,65.76
2,-0.5,False,0.015578490739190248,-0.9998786479499845,58.57246513147736,65.76
2,0.5,False,0.015382893974950932,-0.999881676286227,60.07174479416817,65.76
2,1.5,False,0.012405767029725767,-0.9999230455112054,61.56179243780653,65.76
2,-1.5,True,0.9999169823053974,0.012885204587727255,-58.582506971171384,65.76
2,-0.5,True,0.9998786479499845,0.015578490739190248,-58.58210186115927,65.76
2,0.5,True,0.999881676286227,0.015382893974950932,-58.572108064486244,65.76
2,1.5,True,0.9999230455112054,0.012405767029725767,-58.55288224876077,65.76
2,2.5,True,1.0,0.0,-58.52475950362269,65.76
3,-3.5,False,0.0,1.0,54.04512277394076,131.52
3,-2.5,False,0.015984990107348346,-0.9998722318832882,55.573933757795494,131.52
3,-1.5,False,0.02036569230828926,-0.9997925977805617,57.09238565691374,131.52
3,-0.5,False,0.022023299056628688,-0.9997574577359561,58.600883506291396,131.52
3,0.5,False,0.02174698138851191,-0.9997635064356409,60.09980661493677,131.52
3,1.5,False,0.019608452309545162,-0.9998077358162539,61.589510796960006,131.52
3,2.5,False,0.015006069610353846,-0.9998874025983372,63.07033035988532,131.52
3,-2.5,True,0.9998722318832882,0.015984990107348346,-58.6021174062051,131.52
3,-1.5,True,0.9997925977805617,0.02036569230828926,-58.61129584595951,131.52
3,-0.5,True,0.9997574577359561,0.022023299056628688,-58.61052023597331,131.52
3,0.5,True,0.9997635064356409,0.02174698138851191,-58.60016988525484,131.52
3,1.5,True,0.9998077358162539,0.019608452309545162,-58.58060060791424,131.52
3,2.5,True,0.9998874025983372,0.015006069610353846,-58.552146711475714,131.52
3,3.5,True,1.0,0.0,-58.51512277394076,131.52
4,-4.5,False,0.0,1.0,52.545486044258844,219.20000000000002
4,-3.5,False,0.018699420985570026,-0.9998251505412356,54.08453267714282,219.20000000000002
4,-2.5,False,0.024405010506830634,-0.9997021533747746,55.61280958704908,219.20000000000002
4,-1.5,False,0.027309859591850356,-0.9996270162260888,57.13074855280922,219.20000000000002
4,-0.5,False,0.02841818255365905,-0.9995961218914101,58.63875325053771,219.20000000000002
4,0.5,False,0.028061969578714263,-0.9996061853867069,60.13720174958448,219.20000000000002
4,1.5,False,0.026295374111527565,-0.9996542168671799,61.62644873050415,219.20000000000002
4,2.5,False,0.02291183618762522,-0.9997374894253548,63.1068274619706,219.20000000000002
4,3.5,False,0.017115971468397214,-0.9998535110308375,64.5786515679042,219.20000000000002
4,-3.5,True,0.9998251505412356,0.018699420985570026,-58.621989784916266,219.20000000000002
4,-2.5,True,0.9997021533747746,0.024405010506830634,-58.64099323545869,219.20000000000002
4,-1.5,True,0.9996270162260888,0.027309859591850356,-58.64965874185499,219.20000000000002
4,-0.5,True,0.9995961218914101,0.02841818255365905,-58.648389980219626,219.20000000000002
4,0.5,True,0.9996061853867069,0.028061969578714263,-58.63756501990255,219.20000000000002
4,1.5,True,0.9996542168671799,0.026295374111527565,-58.61753854145839,219.20000000000002
4,2.5,True,0.9997374894253548,0.02291183618762522,-58.588643813561,219.20000000000002
4,3.5,True,0.9998535110308375,0.017115971468397214,-58.551194460130745,219.20000000000002
4,4.5,True,1.0,0.0,-58.50548604425884,219.20000000000002
5,-5.5,False,0.0,1.0,51.04584931457692,328.8
5,-4.5,False,0.02118372694301317,-0.9997755996786498,52.59540392156744,328.8
5,-3.5,False,0.02803076669119836,-0.9996070608587675,54.13375633262034,328.8
5,-2.5,False,0.03193329872695699,-0.9994900021673128,55.661367201946625,328.8
5,-1.5,False,0.03404024246904846,-0.9994204630147656,57.17866645191305,328.8
5,-0.5,False,0.03478397540089303,-0.9993948544270728,58.68605606899285,328.8
5,0.5,False,0.03434848619768507,-0.999409916648783,60.18391258092631,328.8
5,1.5,False,0.03277722372394725,-0.999462682447399,61.67258925842207,328.8
5,2.5,False,0.029981784845687063,-0.999550445238992,63.1524180779367,328.8
5,3.5,False,0.02565987074198691,-0.9996707313078165,64.62371147647727,328.8
5,4.5,False,0.01890547607063339,-0.9998212755160507,66.08676392474331,328.8
5,-4.5,True,0.9997755996786498,0.02118372694301317,-58.64213448870474,328.8
5,-3.5,True,0.9996070608587675,0.02803076669119836,-58.671213440393785,328.8
5,-2.5,True,0.9994900021673128,0.03193329872695699,-58.689550850356234,328.8
5,-1.5,True,0.9994204630147656,0.03404024246904846,-58.69757664095882,328.8
5,-0.5,True,0.9993948544270728,0.03478397540089303,-58.69569279867476,328.8
5,0.5,True,0.999409916648783,0.03434848619768507,-58.68427585124439,328.8
5,1.5,True,0.999462682447399,0.03277722372394725,-58.66367906937631,328.8
5,2.5,True,0.999550445238992,0.029981784845687063,-58.6342344295271,328.8
5,3.5,True,0.9996707313078165,0.02565987074198691,-58.59625436870381,328.8
5,4.5,True,0.9998212755160507,0.01890547607063339,-58.55003335760602,328.8
5,5.5,True,1.0,0.0,-58.49584931457692,328.8
6,-6.5,False,0.0,1.0,49.546212584894995,460.32000000000005
6,-5.5,False,0.023517266400442514,-0.9997234308452767,51.106558424232496,460.32000000000005
6,-4.5,False,0.031395207597762646,-0.9995070489695875,52.6552463001822,460.32000000000005
6,-3.5,False,0.03615918402114826,-0.9993460428755021,54.19276807321888,460.32000000000005
