Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    0.005871       0.005604       0.001186
    0.042546       0.037168       0.001420
    0.105069       0.109763       0.002403
    0.263790       0.305009       0.004769
    0.446677       0.583112       0.010965
    0.768484       0.979403       0.023605
    1.259546       1.676771       0.032258
    2.151774       3.177201       0.042249
    3.266156       4.357992       0.055755





