Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    0.015616       0.017606       0.000965
    0.111765       0.112046       0.002559
    0.335162       0.506103       0.009801
    1.181446       1.381294       0.023293
    1.909925       2.489246       0.037757
    2.996683       4.589122       0.059877
